titre,annee,realisateur,note_presse,note_spectateurs,url
The Dark Knight Rises,2012,Christopher Nolan,3.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=132874.html
Avengers: Infinity War,2018,"Joe Russo, Anthony Russo",3.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=218265.html
L'Armée des Ombres,1969,Jean-Pierre Melville,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4248.html
Assurance sur la mort,1946,Billy Wilder,4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=105.html
Léon,1994,Luc Besson,2.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=9684.html
Bohemian Rhapsody,2018,Bryan Singer,3.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=185719.html
Le Château ambulant,2005,Hayao Miyazaki,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=50409.html
Napoléon,1927,Abel Gance,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=645.html
Les Nuits de Cabiria,1957,Federico Fellini,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4479.html
Lettre d'une inconnue,1948,Max Ophüls,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2681.html
Le Fanfaron,2016,Dino Risi,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1333.html
Reservoir Dogs,1992,Quentin Tarantino,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=7524.html
Alabama Monroe,2013,Felix Van Groeningen,3.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=216955.html
Là-haut,2009,"Pete Docter, Bob Peterson",4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=130368.html
Sixième Sens,2000,M. Night Shyamalan,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=22092.html
Le Cercle des poètes disparus,1990,Peter Weir,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=5280.html
Chantons sous la pluie,1953,"Stanley Donen, Gene Kelly",4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=5120.html
La Mort aux trousses,1959,Alfred Hitchcock,4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=531.html
The Truman Show,1998,Peter Weir,3.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=18671.html
Quand passent les cigognes,1958,Mikhail Kalatozov,4.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2043.html
La Vie est belle,1947,Frank Capra,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=5762.html
Shining,1980,Stanley Kubrick,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=863.html
La Grande Vadrouille,1966,Gérard Oury,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4307.html
Prisoners,2013,Denis Villeneuve,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=180887.html
Le Conte de la princesse Kaguya,2014,Isao Takahata,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=173271.html
Mommy,2014,Xavier Dolan,4.3,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=223002.html
Edward aux mains d'argent,1991,Tim Burton,4.4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=27624.html
Wall-E,2008,Andrew Stanton,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=123734.html
